objectId,jd,label,fid,diffmaglim,programid,candid,isdiffpos,field,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,seeratio,nneg,nbad,magapbig,sigmagapbig,sgmag1,srmag1,simag1,szmag1,sgscore1,distpsnr1,ndethist,ncovhist,jdstarthist,scorr,sgmag2,srmag2,simag2,szmag2,sgscore2,distpsnr2,sgmag3,srmag3,simag3,szmag3,sgscore3,distpsnr3,nmtchps,jdstartref,dsnrms,ssnrms,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,neargaia,neargaiabright,maggaia,maggaiabright,exptime,drb,acai_h,acai_v,acai_o,acai_n,acai_b,new_drb,peakmag,maxmag,peakmag_so_far,maxmag_so_far,age,days_since_peak,days_to_peak,nnotdet,expected_scores
ZTF23abhvlji,2460220.941,1,1,19.29254532,1,2.46644e+18,t,872,143.7976077,83.973455,18.27454567,0.102679156,2.421419859,18.25569916,0.120399997,2.165633917,18.18499947,4.438000202,0.293000013,0.727656603,-0.018846,3.75999999,0.967000008,509.1104126,0.835331798,0,0,18.16189957,0.141100004,18.23690033,17.56279945,17.10390091,17.34469986,0.055833299,2.391009331,1,573,2460220.941,14.78986359,-999.0,20.45840073,20.95639992,20.40620041,0.5,12.78266048,-999.0,-999.0,20.74209976,20.36370087,0.660749972,12.80635262,3,2458634.74,7.05008173,20.76552773,26.17754555,4.42e-05,0.049477998,-0.079643004,8.59e-05,2.388834238,73.30879974,19.03502274,13.06636333,30,0.999727428,0.989876091,0.000806807,5.74e-06,0.014657551,0.004483819,0.99961686,17.9142952,19.90155792,18.27454567,18.27454567,0.0,0.0,0.0,572,0.9850223
ZTF23abhvlji,2460222.943,1,1,19.3422451,1,2.46844e+18,t,872,143.7977084,83.9734415,18.04724884,0.063477881,1.254206181,18.05850029,0.081600003,2.17305398,18.18499947,4.438000202,0.293000013,-0.262045592,0.011251,4.070000172,0.978999972,522.5137939,0.916263938,0,0,17.94059944,0.0933,18.23690033,17.56279945,17.10390091,17.34469986,0.055833299,2.39736867,2,576,2460220.941,13.11259937,-999.0,-999.0,20.74209976,20.36370087,0.660749972,12.79156971,-999.0,20.45840073,20.95639992,20.40620041,0.5,12.79759312,3,2458634.74,6.8685112,25.13514519,26.20524979,4.94e-05,0.047290999,-0.054099999,0.000101032,2.395190716,73.29255676,19.03502274,13.06636333,30,0.999988556,0.984428823,0.001012938,2.21e-06,0.012859583,0.006659168,0.9998339,17.9142952,19.90155792,18.04724884,18.27454567,2.0014352,0.0,2.0014352,574,0.99821055
ZTF23abhvlji,2460222.991,1,2,19.49814987,1,2.46849e+18,t,872,143.7982423,83.973487,18.15638351,0.087092265,1.871671677,18.12779999,0.084299996,2.543072701,17.26300049,5.177000046,0.39199999,-0.68065089,-0.028584,4.320000172,0.98299998,490.9140015,0.783071995,0,0,18.04310036,0.098899998,18.23690033,17.56279945,17.10390091,17.34469986,0.055833299,2.655187368,3,577,2460220.941,9.201516151,-999.0,-999.0,20.74209976,20.36370087,0.660749972,12.54037189,-999.0,20.45840073,20.95639992,20.40620041,0.5,12.54462337,3,2458638.743,11.87736225,27.5017643,26.27638435,1.86e-05,0.048539001,0.107886001,2.67e-05,2.653009653,73.54450989,19.03502274,13.06636333,30,0.999997139,0.981332958,0.000627238,5.95e-07,0.011766654,0.00383064,0.9999954,17.9142952,19.90155792,18.04724884,18.27454567,2.0495255,0.0480903,2.0014352,574,0.9975786
ZTF23abhvlji,2460224.941,1,1,19.8081646,1,2.47044e+18,t,872,143.7977381,83.9734818,17.9142952,0.061166082,2.157516718,17.92900085,0.0623,2.257441759,18.18499947,4.438000202,0.293000013,0.133453801,0.014705,3.170000076,0.981999993,530.59552,0.903201044,0,0,17.95350075,0.080700003,18.23690033,17.56279945,17.10390091,17.34469986,0.055833299,2.485377312,4,578,2460220.941,26.25590324,-999.0,20.45840073,20.95639992,20.40620041,0.5,12.67633152,-999.0,-999.0,20.74209976,20.36370087,0.660749972,12.72217655,3,2458634.74,20.55398369,44.4666214,26.21529579,2.32e-05,0.044009,-0.084094003,3.92e-05,2.483205795,73.41562653,19.03502274,13.06636333,30,0.999999702,0.997489572,0.00111457,3.64e-06,0.012442743,0.00139374,0.99999887,17.9142952,19.90155792,17.9142952,18.27454567,3.999375,0.0,3.999375,574,0.99927056
ZTF23abhvlji,2460225.007,1,2,20.00732422,1,2.47051e+18,t,872,143.7978555,83.973498,18.02728844,0.064200014,6.292257786,18.1385994,0.072300002,2.447553396,17.26300049,5.177000046,0.39199999,-0.139563307,0.111312002,2.710000038,0.989000022,487.0552063,0.942056417,3,0,18.15320015,0.092,18.23690033,17.56279945,17.10390091,17.34469986,0.055833299,2.554939508,5,579,2460220.941,15.56347084,-999.0,20.45840073,20.95639992,20.40620041,0.5,12.60305977,-999.0,-999.0,20.74209976,20.36370087,0.660749972,12.65811062,3,2458638.743,30.01242256,52.62414169,26.2802887,8.96e-06,0.040018,0.104845002,1.28e-05,2.552765608,73.48890686,19.03502274,13.06636333,30,0.999991894,0.993295133,0.000700835,7.3e-07,0.00845975,0.000574096,0.9999892,17.9142952,19.90155792,17.9142952,18.27454567,4.0659375,0.0665625,3.999375,574,0.99895185
ZTF23abhvlji,2460230.949,1,1,20.05410194,1,2.47645e+18,t,872,143.7981131,83.9734586,18.04349899,0.05801123,4.449421883,17.99959946,0.0561,2.330678701,18.18499947,4.438000202,0.293000013,-0.629140317,-0.043899,2.450000048,0.98299998,499.7185059,1.122712851,0,0,17.95350075,0.067699999,18.23690033,17.56279945,17.10390091,17.34469986,0.055833299,2.560137987,6,580,2460220.941,29.54854774,-999.0,-999.0,20.74209976,20.36370087,0.660749972,12.62683487,-999.0,20.45840073,20.95639992,20.40620041,0.5,12.6554718,3,2458634.74,30.51050758,57.41505814,26.17449951,1.87e-05,0.049004,-0.115911998,2.82e-05,2.557959795,73.43338013,19.03502274,13.06636333,30,0.99999994,0.997465253,0.001917423,1.1e-06,0.012536914,0.000652734,0.99999964,17.9142952,19.90155792,17.9142952,18.27454567,10.0079398,6.0085648,3.999375,574,0.9990688
ZTF23abhvlji,2460232.918,1,1,20.15371323,1,2.47842e+18,t,872,143.7978959,83.9734703,18.12240601,0.056626152,1.268663764,18.16189957,0.062199999,2.283532381,18.18499947,4.438000202,0.293000013,0.293299288,0.039494,2.690000057,0.98299998,522.5151978,0.975365341,1,0,18.14909935,0.077500001,18.23690033,17.56279945,17.10390091,17.34469986,0.055833299,2.512421608,8,582,2460220.941,24.2322731,-999.0,20.45840073,20.95639992,20.40620041,0.5,12.6722374,-999.0,-999.0,20.74209976,20.36370087,0.660749972,12.68443203,3,2458634.74,35.0568161,58.88544083,26.21140671,2.15e-05,0.046158999,-0.089474,3.26e-05,2.510244131,73.41803741,19.03502274,13.06636333,30,0.999999762,0.997629166,0.001499374,2.69e-07,0.009009936,0.000565014,0.9999999,17.9142952,19.90155792,17.9142952,18.27454567,11.9764815,7.9771065,3.999375,574,0.99841046
ZTF23abhvlji,2460232.991,1,2,20.13863182,1,2.47849e+18,t,872,143.7978208,83.9734798,18.08101463,0.056959964,4.644306183,18.19009972,0.069600001,2.398201466,17.26300049,5.177000046,0.39199999,0.01522906,0.109085999,3.480000019,0.98299998,476.7322083,0.715620637,1,0,18.18280029,0.086499996,18.23690033,17.56279945,17.10390091,17.34469986,0.055833299,2.507317781,9,583,2460220.941,15.93906498,-999.0,20.45840073,20.95639992,20.40620041,0.5,12.6627121,-999.0,-999.0,20.74209976,20.36370087,0.660749972,12.69648743,3,2458638.743,32.88218689,58.72161102,26.28101349,8.87e-06,0.037822001,0.094780996,1.27e-05,2.505143404,73.42851257,19.03502274,13.06636333,30,0.999999642,0.995927334,0.000979709,4.36e-08,0.008292775,0.000523861,0.9999991,17.9142952,19.90155792,17.9142952,18.27454567,12.0499421,8.0505671,3.999375,574,0.99856603
ZTF23abhvlji,2460234.946,1,1,20.01101112,1,2.48045e+18,t,872,143.7980723,83.9734667,18.27506256,0.070100248,1.893312693,18.26099968,0.079499997,2.341769457,18.18499947,4.438000202,0.293000013,0.722538471,-0.014062,2.769999981,0.98299998,509.4937134,0.921650827,0,0,18.32320023,0.106200002,18.23690033,17.56279945,17.10390091,17.34469986,0.055833299,2.562040567,10,584,2460220.941,22.226017,-999.0,-999.0,20.74209976,20.36370087,0.660749972,12.62888908,-999.0,20.45840073,20.95639992,20.40620041,0.5,12.64172173,3,2458634.74,24.49426079,43.71894836,25.94206238,2.28e-05,0.043772001,-0.074275002,3.64e-05,2.559862852,73.44750977,19.03502274,13.06636333,30,0.999999881,0.997554541,0.000924956,6.64e-08,0.011094127,0.000469209,1.0,17.9142952,19.90155792,17.9142952,18.27506256,14.0043982,10.0050232,3.999375,574,0.99756545
ZTF23abhvlji,2460236.908,1,1,19.97189903,1,2.48241e+18,t,872,143.7976731,83.9734456,18.43551445,0.082922287,2.349878311,18.40810013,0.081699997,2.167345524,18.18499947,4.438000202,0.293000013,0.213282496,-0.027414,3.299999952,0.981000006,535.8189697,0.886793017,0,0,18.4993,0.112400003,18.23690033,17.56279945,17.10390091,17.34469986,0.055833299,2.393756866,11,586,2460220.941,16.98996735,-999.0,20.45840073,20.95639992,20.40620041,0.5,12.79412365,-999.0,-999.0,20.74209976,20.36370087,0.660749972,12.79765511,3,2458634.74,13.0880003,32.07073212,26.2225132,2.37e-05,0.048330002,-0.096603997,3.67e-05,2.391579151,73.29641724,19.03502274,13.06636333,30,0.999996901,0.992016792,0.001925585,1.94e-08,0.009509362,0.001609261,0.99998754,17.9142952,19.90155792,17.9142952,18.43551445,15.9662616,11.9668866,3.999375,575,0.99717313
ZTF23abhvlji,2460236.965,1,2,20.03149605,1,2.48247e+18,t,872,143.7980407,83.9734627,18.49616241,0.069702424,1.524537683,18.48469925,0.090400003,2.43638134,17.26300049,5.177000046,0.39199999,0.376338094,-0.011462,3.599999905,0.98299998,497.6788025,0.765979409,2,0,18.51860046,0.116999999,18.23690033,17.56279945,17.10390091,17.34469986,0.055833299,2.544335127,12,587,2460220.941,10.34227276,-999.0,-999.0,20.74209976,20.36370087,0.660749972,12.64569283,-999.0,20.45840073,20.95639992,20.40620041,0.5,12.66041756,3,2458638.743,12.55412674,30.05569458,26.28916168,1.03e-05,0.038426001,0.091886997,1.48e-05,2.542157888,73.42882538,19.03502274,13.06636333,30,0.999998629,0.990263045,0.000572394,5.93e-09,0.011093096,0.001330176,0.9999981,17.9142952,19.90155792,17.9142952,18.49616241,16.0237732,12.0243982,3.999375,575,0.99709564
ZTF23abhvlji,2460238.928,1,1,20.108078,1,2.48443e+18,t,872,143.7982433,83.9734566,18.62013054,0.08256942,2.785975695,18.82649994,0.118900001,2.370568991,18.18499947,4.438000202,0.293000013,0.629456878,0.206368998,2.690000057,0.981999993,519.0963135,0.966375589,4,0,18.83939934,0.1523,18.23690033,17.56279945,17.10390091,17.34469986,0.055833299,2.598905563,14,589,2460220.941,20.694664,-999.0,-999.0,20.74209976,20.36370087,0.660749972,12.58501148,-999.0,20.45840073,20.95639992,20.40620041,0.5,12.63135815,3,2458634.74,17.51839638,33.79780197,26.22213173,1.59e-05,0.046016999,-0.108946003,2.37e-05,2.596726656,73.45707703,19.03502274,13.06636333,30,0.99998939,0.997423887,0.00088814,4.96e-09,0.012032935,0.000286482,0.9999977,17.9142952,19.90155792,17.9142952,18.62013054,17.9862616,13.9868866,3.999375,575,0.9973963
ZTF23abhvlji,2460238.994,1,2,20.27677155,1,2.48449e+18,t,872,143.7979247,83.973471,18.61146545,0.064913988,3.456815481,18.67749977,0.097900003,2.412662983,17.26300049,5.177000046,0.39199999,-0.1041857,0.066035002,3.230000019,0.98299998,483.510498,0.771793962,4,0,18.59189987,0.112800002,18.23690033,17.56279945,17.10390091,17.34469986,0.055833299,2.522952795,15,590,2460220.941,14.56832409,-999.0,20.45840073,20.95639992,20.40620041,0.5,12.66357231,-999.0,-999.0,20.74209976,20.36370087,0.660749972,12.67346478,3,2458638.743,23.4675312,41.38472748,26.29146576,7.75e-06,0.035050001,0.087999001,1.11e-05,2.520774603,73.42655945,19.03502274,13.06636333,30,0.999971509,0.99597919,0.000566199,1.17e-09,0.01200971,0.000510019,0.9999987,17.9142952,19.90155792,17.9142952,18.62013054,18.0522107,14.0528357,3.999375,575,0.99790514
ZTF23abhvlji,2460241.91,1,2,19.37711334,1,2.48741e+18,t,872,143.7989688,83.9733086,18.6323185,0.134530887,1.268957257,18.82430077,0.137099996,2.551985264,17.26300049,5.177000046,0.39199999,-0.632393718,0.191981003,2.539999962,0.648999989,520.8649902,1.760467768,1,0,18.81040001,0.170599997,18.23690033,17.56279945,17.10390091,17.34469986,0.055833299,2.637554407,16,591,2460220.941,6.072216988,-999.0,-999.0,20.74209976,20.36370087,0.660749972,12.57067013,-999.0,20.45840073,20.95639992,20.40620041,0.5,12.90102577,3,2458638.743,0.7139467,9.714303017,26.23631859,2.34e-05,0.049915999,0.099206001,3.36e-05,2.635433912,73.19670868,19.03502274,13.06636333,30,0.99868536,0.90093863,0.001290566,2.58e-10,0.012895248,0.003913058,0.98381704,17.9142952,19.90155792,17.9142952,18.6323185,20.9684954,16.9691204,3.999375,575,0.99671894
ZTF23abhvlji,2460241.945,1,1,19.53408432,1,2.48744e+18,t,872,143.7976028,83.9734791,18.92522049,0.133230835,1.10579145,19.1989994,0.165099993,2.209932089,18.18499947,4.438000202,0.293000013,0.272263795,0.273779988,5.599999905,0.76700002,500.4346924,0.793691456,0,0,19.22039986,0.213799998,18.23690033,17.56279945,17.10390091,17.34469986,0.055833299,2.437684059,17,592,2460220.941,7.602439404,-999.0,20.45840073,20.95639992,20.40620041,0.5,12.71561813,-999.0,-999.0,20.74209976,20.36370087,0.660749972,12.77289963,3,2458634.74,2.229650497,10.93298912,26.19421959,4.03e-05,0.048632,-0.09708,8.22e-05,2.435511351,73.37731934,19.03502274,13.06636333,30,0.999302864,0.902762532,0.000899964,3.41e-10,0.013916572,0.007121034,0.9999576,17.9142952,19.90155792,17.9142952,18.92522049,21.0035533,17.0041783,3.999375,575,0.99764585
ZTF23abhvlji,2460244.972,1,2,19.59023285,1,2.49047e+18,t,872,143.7973886,83.9734813,18.67342377,0.096339345,1.188352227,18.83609962,0.192200005,2.264747143,17.26300049,5.177000046,0.39199999,0.064500779,0.162677005,2.660000086,0.981000006,461.2948914,0.969019651,2,0,18.83530045,0.2447,18.23690033,17.56279945,17.10390091,17.34469986,0.055833299,2.376144171,20,595,2460220.941,9.890517235,-999.0,20.45840073,20.95639992,20.40620041,0.5,12.75978279,-999.0,-999.0,20.74209976,20.36370087,0.660749972,12.84389591,3,2458638.743,12.11525249,20.71388435,26.28342247,1.15e-05,0.042613,0.105346002,1.64e-05,2.373975992,73.33542633,19.03502274,13.06636333,30,0.999999642,0.986250579,0.000498007,3.64e-10,0.014395224,0.000783464,0.99999243,17.9142952,19.90155792,17.9142952,18.92522049,24.0308796,20.0315046,3.999375,575,0.9982912
ZTF23abhvlji,2460246.996,1,2,19.14716339,1,2.4925e+18,t,872,143.7974356,83.9735251,18.81893158,0.169685856,1.403456807,18.78510094,0.225899994,2.370052099,17.26300049,5.177000046,0.39199999,0.895338297,-0.033831999,3.690000057,0.888999999,438.0899963,0.844613731,3,0,18.61149979,0.246099994,18.23690033,17.56279945,17.10390091,17.34469986,0.055833299,2.485745192,21,597,2460220.941,5.860592842,-999.0,20.45840073,20.95639992,20.40620041,0.5,12.62578869,-999.0,-999.0,20.74209976,20.36370087,0.660749972,12.76537418,3,2458638.743,4.517494678,11.01434135,26.28793144,1.63e-05,0.045626,0.10204,2.34e-05,2.483589888,73.47270966,19.03502274,13.06636333,30,0.986877978,0.984611988,0.001262264,8.46e-11,0.012766411,0.0029573,0.99965894,17.9142952,19.90155792,17.9142952,18.92522049,26.0551158,22.0557408,3.999375,576,0.9981007
ZTF23abhvlji,2460250.878,1,2,19.86581421,1,2.49638e+18,t,872,143.7975992,83.9734905,19.07522583,0.168553039,2.212188244,19.05279922,0.196799994,2.347483873,17.26300049,5.177000046,0.39199999,0.470810503,-0.022425,4.150000095,1.0,506.8323059,0.58083421,5,0,18.9239006,0.221799999,18.23690033,17.56279945,17.10390091,17.34469986,0.055833299,2.460125685,22,598,2460220.941,8.244304657,-999.0,20.45840073,20.95639992,20.40620041,0.5,12.68428993,-999.0,-999.0,20.74209976,20.36370087,0.660749972,12.75769424,3,2458638.743,9.027060509,16.55939865,26.29922485,9.78e-06,0.039159,0.097296998,1.4e-05,2.45795536,73.40945435,19.03502274,13.06636333,30,0.999326229,0.945228994,0.000465309,3.09e-10,0.012401403,0.000743681,0.99843365,17.9142952,19.90155792,17.9142952,19.07522583,29.9362963,25.9369213,3.999375,576,0.99806225
ZTF23abhvlji,2460252.91,1,2,19.99149704,1,2.49841e+18,t,872,143.7979585,83.9734423,19.05594063,0.099096909,1.499916077,19.15019989,0.188899994,2.388344765,17.26300049,5.177000046,0.39199999,-0.111356698,0.094259001,2.900000095,0.978999972,492.3124084,0.852601349,6,0,19.15690041,0.240199998,18.23690033,17.56279945,17.10390091,17.34469986,0.055833299,2.479980946,24,601,2460220.941,9.372710228,-999.0,-999.0,20.74209976,20.36370087,0.660749972,12.70431137,-999.0,20.45840073,20.95639992,20.40620041,0.5,12.73758793,3,2458638.743,9.78324604,18.80553055,26.29194069,1.03e-05,0.038927998,0.094369002,1.48e-05,2.477803469,73.35139465,19.03502274,13.06636333,30,0.999984086,0.997120261,0.000449038,2.54e-10,0.013253629,0.000422512,0.99996287,17.9142952,19.90155792,17.9142952,19.07522583,31.9686806,27.9693056,3.999375,577,0.9986845
